2022-11-02 22:35:52.854780 Epoch [003/050], Step [0240/0505], [lateral-3: 1.3573]
2022-11-02 22:36:12.640589 Epoch [003/050], Step [0260/0505], [lateral-3: 1.3523]
2022-11-02 22:36:33.095626 Epoch [003/050], Step [0280/0505], [lateral-3: 1.3146]
2022-11-02 22:36:53.507162 Epoch [003/050], Step [0300/0505], [lateral-3: 1.2970]
2022-11-02 22:37:13.261232 Epoch [003/050], Step [0320/0505], [lateral-3: 1.3135]
2022-11-02 22:37:32.358464 Epoch [003/050], Step [0340/0505], [lateral-3: 1.3403]
2022-11-02 22:37:52.818309 Epoch [003/050], Step [0360/0505], [lateral-3: 1.3081]
2022-11-02 22:38:12.761817 Epoch [003/050], Step [0380/0505], [lateral-3: 1.2819]
2022-11-02 22:38:32.807835 Epoch [003/050], Step [0400/0505], [lateral-3: 1.3032]
2022-11-02 22:38:52.783203 Epoch [003/050], Step [0420/0505], [lateral-3: 1.2940]
2022-11-02 22:39:12.629195 Epoch [003/050], Step [0440/0505], [lateral-3: 1.2660]
2022-11-02 22:39:32.507847 Epoch [003/050], Step [0460/0505], [lateral-3: 1.2959]
2022-11-02 22:39:52.625185 Epoch [003/050], Step [0480/0505], [lateral-3: 1.3045]
2022-11-02 22:40:12.639110 Epoch [003/050], Step [0500/0505], [lateral-3: 1.3100]
2022-11-02 22:40:17.735051 Epoch [003/050], Step [0505/0505], [lateral-3: 1.3009]
{'time': datetime.datetime(2022, 11, 2, 22, 40, 17, 882404), 'Epoch ': 3, 'loss': tensor(1.3009, device='cuda:0')}

2022-11-02 22:40:39.504384 Epoch [004/050], Step [0020/0505], [lateral-3: 1.2238]
2022-11-02 22:40:59.282571 Epoch [004/050], Step [0040/0505], [lateral-3: 1.1565]
2022-11-02 22:41:18.890017 Epoch [004/050], Step [0060/0505], [lateral-3: 1.0901]
2022-11-02 22:41:38.960370 Epoch [004/050], Step [0080/0505], [lateral-3: 1.1717]
2022-11-02 22:41:58.811050 Epoch [004/050], Step [0100/0505], [lateral-3: 1.2156]
2022-11-02 22:42:18.949977 Epoch [004/050], Step [0120/0505], [lateral-3: 1.1624]
2022-11-02 22:42:39.124144 Epoch [004/050], Step [0140/0505], [lateral-3: 1.1424]
2022-11-02 22:42:59.954444 Epoch [004/050], Step [0160/0505], [lateral-3: 1.1616]
2022-11-02 22:43:19.763331 Epoch [004/050], Step [0180/0505], [lateral-3: 1.1765]
2022-11-02 22:43:39.239439 Epoch [004/050], Step [0200/0505], [lateral-3: 1.1859]
2022-11-02 22:43:59.401969 Epoch [004/050], Step [0220/0505], [lateral-3: 1.1858]
2022-11-02 22:44:19.999854 Epoch [004/050], Step [0240/0505], [lateral-3: 1.1558]
2022-11-02 22:44:40.115358 Epoch [004/050], Step [0260/0505], [lateral-3: 1.1575]
2022-11-02 22:44:59.986793 Epoch [004/050], Step [0280/0505], [lateral-3: 1.1897]
2022-11-02 22:45:19.613077 Epoch [004/050], Step [0300/0505], [lateral-3: 1.1524]
2022-11-02 22:45:40.127841 Epoch [004/050], Step [0320/0505], [lateral-3: 1.1611]
2022-11-02 22:46:00.395474 Epoch [004/050], Step [0340/0505], [lateral-3: 1.2263]
2022-11-02 22:46:19.723320 Epoch [004/050], Step [0360/0505], [lateral-3: 1.2310]
2022-11-02 22:46:39.796224 Epoch [004/050], Step [0380/0505], [lateral-3: 1.2063]
2022-11-02 22:46:59.994849 Epoch [004/050], Step [0400/0505], [lateral-3: 1.1944]
2022-11-02 22:47:20.352597 Epoch [004/050], Step [0420/0505], [lateral-3: 1.1848]
2022-11-02 22:47:40.761284 Epoch [004/050], Step [0440/0505], [lateral-3: 1.1796]
2022-11-02 22:48:00.122442 Epoch [004/050], Step [0460/0505], [lateral-3: 1.2342]
2022-11-02 22:48:19.694914 Epoch [004/050], Step [0480/0505], [lateral-3: 1.2009]
2022-11-02 22:48:40.427316 Epoch [004/050], Step [0500/0505], [lateral-3: 1.1840]
2022-11-02 22:48:45.334739 Epoch [004/050], Step [0505/0505], [lateral-3: 1.1847]
{'time': datetime.datetime(2022, 11, 2, 22, 48, 45, 484038), 'Epoch ': 4, 'loss': tensor(1.1847, device='cuda:0')}

2022-11-02 22:49:06.723399 Epoch [005/050], Step [0020/0505], [lateral-3: 1.1516]
2022-11-02 22:49:26.671416 Epoch [005/050], Step [0040/0505], [lateral-3: 1.1150]
2022-11-02 22:49:46.821707 Epoch [005/050], Step [0060/0505], [lateral-3: 1.0996]
2022-11-02 22:50:06.932008 Epoch [005/050], Step [0080/0505], [lateral-3: 1.1095]
2022-11-02 22:50:27.116208 Epoch [005/050], Step [0100/0505], [lateral-3: 1.0280]
2022-11-02 22:50:47.080247 Epoch [005/050], Step [0120/0505], [lateral-3: 1.0037]
2022-11-02 22:51:07.986025 Epoch [005/050], Step [0140/0505], [lateral-3: 1.0588]
2022-11-02 22:51:28.385717 Epoch [005/050], Step [0160/0505], [lateral-3: 1.0815]
2022-11-02 22:51:48.900294 Epoch [005/050], Step [0180/0505], [lateral-3: 1.0886]
2022-11-02 22:52:08.720037 Epoch [005/050], Step [0200/0505], [lateral-3: 1.0963]
2022-11-02 22:52:28.694383 Epoch [005/050], Step [0220/0505], [lateral-3: 1.0885]
2022-11-02 22:52:48.241699 Epoch [005/050], Step [0240/0505], [lateral-3: 1.0544]
2022-11-02 22:53:09.093965 Epoch [005/050], Step [0260/0505], [lateral-3: 1.0599]
2022-11-02 22:53:29.792263 Epoch [005/050], Step [0280/0505], [lateral-3: 1.0828]
2022-11-02 22:53:50.222386 Epoch [005/050], Step [0300/0505], [lateral-3: 1.0922]
2022-11-02 22:54:09.702439 Epoch [005/050], Step [0320/0505], [lateral-3: 1.0907]
2022-11-02 22:54:30.319966 Epoch [005/050], Step [0340/0505], [lateral-3: 1.1034]
2022-11-02 22:54:50.451800 Epoch [005/050], Step [0360/0505], [lateral-3: 1.1077]
2022-11-02 22:55:10.283761 Epoch [005/050], Step [0380/0505], [lateral-3: 1.0774]
2022-11-02 22:55:31.027284 Epoch [005/050], Step [0400/0505], [lateral-3: 1.0984]
2022-11-02 22:55:51.278795 Epoch [005/050], Step [0420/0505], [lateral-3: 1.1022]
2022-11-02 22:56:10.769213 Epoch [005/050], Step [0440/0505], [lateral-3: 1.1317]
2022-11-02 22:56:31.144996 Epoch [005/050], Step [0460/0505], [lateral-3: 1.1190]
2022-11-02 22:56:50.384480 Epoch [005/050], Step [0480/0505], [lateral-3: 1.1296]
2022-11-02 22:57:09.660661 Epoch [005/050], Step [0500/0505], [lateral-3: 1.1727]
2022-11-02 22:57:14.377874 Epoch [005/050], Step [0505/0505], [lateral-3: 1.1662]
{'time': datetime.datetime(2022, 11, 2, 22, 57, 14, 509632), 'Epoch ': 5, 'loss': tensor(1.1662, device='cuda:0')}

2022-11-02 22:57:35.703058 Epoch [006/050], Step [0020/0505], [lateral-3: 0.9925]
2022-11-02 22:57:55.673190 Epoch [006/050], Step [0040/0505], [lateral-3: 0.9827]
2022-11-02 22:58:16.234130 Epoch [006/050], Step [0060/0505], [lateral-3: 0.9646]
2022-11-02 22:58:36.611816 Epoch [006/050], Step [0080/0505], [lateral-3: 0.9899]
2022-11-02 22:58:56.993961 Epoch [006/050], Step [0100/0505], [lateral-3: 0.9870]
2022-11-02 22:59:16.945830 Epoch [006/050], Step [0120/0505], [lateral-3: 0.9278]
2022-11-02 22:59:37.870941 Epoch [006/050], Step [0140/0505], [lateral-3: 0.9364]
2022-11-02 22:59:57.751691 Epoch [006/050], Step [0160/0505], [lateral-3: 0.9968]
2022-11-02 23:00:18.165413 Epoch [006/050], Step [0180/0505], [lateral-3: 0.9947]
2022-11-02 23:00:37.747623 Epoch [006/050], Step [0200/0505], [lateral-3: 0.9996]
2022-11-02 23:00:57.814197 Epoch [006/050], Step [0220/0505], [lateral-3: 1.0057]
2022-11-02 23:01:18.286973 Epoch [006/050], Step [0240/0505], [lateral-3: 0.9865]
2022-11-02 23:01:38.439425 Epoch [006/050], Step [0260/0505], [lateral-3: 0.9935]
2022-11-02 23:01:58.978870 Epoch [006/050], Step [0280/0505], [lateral-3: 1.0107]
2022-11-02 23:02:19.265740 Epoch [006/050], Step [0300/0505], [lateral-3: 0.9999]
2022-11-02 23:02:39.087355 Epoch [006/050], Step [0320/0505], [lateral-3: 1.0072]
2022-11-02 23:02:59.103041 Epoch [006/050], Step [0340/0505], [lateral-3: 1.0617]
