2022-10-27 22:30:05.451771 Epoch [003/200], Step [0240/0505], [lateral-3: 1.3489]
2022-10-27 22:30:24.687897 Epoch [003/200], Step [0260/0505], [lateral-3: 1.2914]
2022-10-27 22:30:43.833106 Epoch [003/200], Step [0280/0505], [lateral-3: 1.2935]
2022-10-27 22:31:02.949318 Epoch [003/200], Step [0300/0505], [lateral-3: 1.3161]
2022-10-27 22:31:22.436777 Epoch [003/200], Step [0320/0505], [lateral-3: 1.2783]
2022-10-27 22:31:41.458728 Epoch [003/200], Step [0340/0505], [lateral-3: 1.2858]
2022-10-27 22:32:00.885494 Epoch [003/200], Step [0360/0505], [lateral-3: 1.3141]
2022-10-27 22:32:20.118755 Epoch [003/200], Step [0380/0505], [lateral-3: 1.2840]
2022-10-27 22:32:39.651144 Epoch [003/200], Step [0400/0505], [lateral-3: 1.2205]
2022-10-27 22:32:59.016865 Epoch [003/200], Step [0420/0505], [lateral-3: 1.2336]
2022-10-27 22:33:18.290156 Epoch [003/200], Step [0440/0505], [lateral-3: 1.2692]
2022-10-27 22:33:37.861512 Epoch [003/200], Step [0460/0505], [lateral-3: 1.2586]
2022-10-27 22:33:57.464595 Epoch [003/200], Step [0480/0505], [lateral-3: 1.2470]
2022-10-27 22:34:16.577039 Epoch [003/200], Step [0500/0505], [lateral-3: 1.2414]
2022-10-27 22:34:21.308458 Epoch [003/200], Step [0505/0505], [lateral-3: 1.2585]
{'time': datetime.datetime(2022, 10, 27, 22, 34, 21, 436380), 'Epoch ': 3, 'loss': tensor(1.2585, device='cuda:0')}

2022-10-27 22:34:41.246781 Epoch [004/200], Step [0020/0505], [lateral-3: 1.1141]
2022-10-27 22:35:00.538723 Epoch [004/200], Step [0040/0505], [lateral-3: 1.1145]
2022-10-27 22:35:19.823323 Epoch [004/200], Step [0060/0505], [lateral-3: 1.1064]
2022-10-27 22:35:38.422127 Epoch [004/200], Step [0080/0505], [lateral-3: 1.1120]
2022-10-27 22:35:57.643512 Epoch [004/200], Step [0100/0505], [lateral-3: 1.1573]
2022-10-27 22:36:16.917934 Epoch [004/200], Step [0120/0505], [lateral-3: 1.1695]
2022-10-27 22:36:36.256347 Epoch [004/200], Step [0140/0505], [lateral-3: 1.1475]
